OPPORTUNITY NUMBER,,,pos_tuple,pos,token_str,term_str,term_id
72011423RFA00001,1,48,"('Educational', 'NNP')",NNP,Educational,educational,430
72011423RFA00001,1,49,"('Resource', 'NNP')",NNP,Resource,resource,1146
72011423RFA00001,1,50,"('Centers', 'NNP')",NNP,Centers,centers,215
72011423RFA00001,1,51,"('(', '(')",(,(,,0
72011423RFA00001,1,52,"('ERCs', 'NNP')",NNP,ERCs,ercs,485
72011423RFA00001,1,53,"(')', ')')",),),,0
72011423RFA00001,1,54,"('and', 'CC')",CC,and,and,112
72011423RFA00001,1,55,"('improving', 'VBG')",VBG,improving,improving,690
72011423RFA00001,1,56,"('their', 'PRP$')",PRP$,their,their,1325
72011423RFA00001,1,57,"('capacity', 'NN')",NN,capacity,capacity,202
72011423RFA00001,1,58,"('to', 'TO')",TO,to,to,1348
72011423RFA00001,1,59,"('support', 'VB')",VB,support,support,1288
72011423RFA00001,1,60,"('schools', 'NNS')",NNS,schools,schools,1186
72011423RFA00001,1,61,"('.', '.')",.,.,,0
72016923RFA00001,0,0,"('USAID/Serbia', 'NNP')",NNP,USAID/Serbia,usaidserbia,1411
72016923RFA00001,0,1,"('aims', 'VBZ')",VBZ,aims,aims,95
72016923RFA00001,0,2,"('to', 'TO')",TO,to,to,1348
72016923RFA00001,0,3,"('support', 'VB')",VB,support,support,1288
72016923RFA00001,0,4,"('the', 'DT')",DT,the,the,1324
72016923RFA00001,0,5,"('establishment', 'NN')",NN,establishment,establishment,491
72016923RFA00001,0,6,"('of', 'IN')",IN,of,of,944
72016923RFA00001,0,7,"('an', 'DT')",DT,an,an,108
72016923RFA00001,0,8,"('investment', 'NN')",NN,investment,investment,756
72016923RFA00001,0,9,"('vehicle', 'NN')",NN,vehicle,vehicle,1424
72016923RFA00001,0,10,"('(', '(')",(,(,,0
72016923RFA00001,0,11,"('the', 'DT')",DT,the,the,1324
72016923RFA00001,0,12,"('Fund', 'NN')",NN,Fund,fund,578
72016923RFA00001,0,13,"(')', ')')",),),,0
72016923RFA00001,0,14,"('that', 'WDT')",WDT,that,that,1323
72016923RFA00001,0,15,"('will', 'MD')",MD,will,will,1462
72016923RFA00001,0,16,"('focus', 'VB')",VB,focus,focus,551
72016923RFA00001,0,17,"('on', 'IN')",IN,on,on,947
72016923RFA00001,0,18,"('financing', 'NN')",NN,financing,financing,542
72016923RFA00001,0,19,"('innovative', 'JJ')",JJ,innovative,innovative,722
72016923RFA00001,0,20,"('products', 'NNS')",NNS,products,products,1068
72016923RFA00001,0,21,"('and', 'CC')",CC,and,and,112
72016923RFA00001,0,22,"('services', 'NNS')",NNS,services,services,1205
72016923RFA00001,0,23,"('in', 'IN')",IN,in,in,691
72016923RFA00001,0,24,"('the', 'DT')",DT,the,the,1324
72016923RFA00001,0,25,"('media', 'NNS')",NNS,media,media,872
72016923RFA00001,0,26,"(',', ',')",",",",",,0
72016923RFA00001,0,27,"('information', 'NN')",NN,information,information,716
72016923RFA00001,0,28,"(',', ',')",",",",",,0
72016923RFA00001,0,29,"('and', 'CC')",CC,and,and,112
72016923RFA00001,0,30,"('communications', 'NNS')",NNS,communications,communications,263
72016923RFA00001,0,31,"('sectors', 'NNS')",NNS,sectors,sectors,1192
72016923RFA00001,0,32,"('in', 'IN')",IN,in,in,691
72016923RFA00001,0,33,"('the', 'DT')",DT,the,the,1324
72016923RFA00001,0,34,"('West', 'NNP')",NNP,West,west,1451
72016923RFA00001,0,35,"('Balkans', 'NNPS')",NNPS,Balkans,balkans,156
72016923RFA00001,0,36,"('region', 'NN')",NN,region,region,1123
72016923RFA00001,0,37,"('.', '.')",.,.,,0
72016923RFA00001,1,0,"('To', 'TO')",TO,To,to,1348
72016923RFA00001,1,1,"('do', 'VB')",VB,do,do,408
72016923RFA00001,1,2,"('so', 'RB')",RB,so,so,1228
72016923RFA00001,1,3,"(',', ',')",",",",",,0
72016923RFA00001,1,4,"('USAID', 'NNP')",NNP,USAID,usaid,1404
72016923RFA00001,1,5,"('will', 'MD')",MD,will,will,1462
72016923RFA00001,1,6,"('issue', 'VB')",VB,issue,issue,767
72016923RFA00001,1,7,"('a', 'DT')",DT,a,a,25
72016923RFA00001,1,8,"('Grant', 'NNP')",NNP,Grant,grant,616
72016923RFA00001,1,9,"('or', 'CC')",CC,or,or,957
72016923RFA00001,1,10,"('Cooperative', 'NNP')",NNP,Cooperative,cooperative,307
72016923RFA00001,1,11,"('Agreement', 'NNP')",NNP,Agreement,agreement,91
72016923RFA00001,1,12,"('(', '(')",(,(,,0
72016923RFA00001,1,13,"('in', 'IN')",IN,in,in,691
72016923RFA00001,1,14,"('further', 'RB')",RB,further,further,582
72016923RFA00001,1,15,"('text', 'IN')",IN,text,text,1322
72016923RFA00001,1,16,"('the', 'DT')",DT,the,the,1324
72016923RFA00001,1,17,"('Grant', 'NNP')",NNP,Grant,grant,616
72016923RFA00001,1,18,"(')', ')')",),),,0
72016923RFA00001,1,19,"('to', 'TO')",TO,to,to,1348
72016923RFA00001,1,20,"('support', 'VB')",VB,support,support,1288
72016923RFA00001,1,21,"('a', 'DT')",DT,a,a,25
72016923RFA00001,1,22,"('Fund', 'NN')",NN,Fund,fund,578
72016923RFA00001,1,23,"('that', 'WDT')",WDT,that,that,1323
72016923RFA00001,1,24,"('will', 'MD')",MD,will,will,1462
72016923RFA00001,1,25,"('make', 'VB')",VB,make,make,842
72016923RFA00001,1,26,"('investments', 'NNS')",NNS,investments,investments,757
72016923RFA00001,1,27,"('in', 'IN')",IN,in,in,691
72016923RFA00001,1,28,"('products', 'NNS')",NNS,products,products,1068
72016923RFA00001,1,29,"('and', 'CC')",CC,and,and,112
72016923RFA00001,1,30,"('services', 'NNS')",NNS,services,services,1205
72016923RFA00001,1,31,"('that', 'WDT')",WDT,that,that,1323
72016923RFA00001,1,32,"('directly', 'RB')",RB,directly,directly,392
72016923RFA00001,1,33,"('or', 'CC')",CC,or,or,957
72016923RFA00001,1,34,"('indirectly', 'RB')",RB,indirectly,indirectly,709
72016923RFA00001,1,35,"('increase', 'VB')",VB,increase,increase,699
72016923RFA00001,1,36,"('citizens', 'NNS')",NNS,citizens,citizens,228
72016923RFA00001,1,37,"('’', 'JJ')",JJ,’,,0
72016923RFA00001,1,38,"('ability', 'NN')",NN,ability,ability,28
72016923RFA00001,1,39,"('to', 'TO')",TO,to,to,1348
72016923RFA00001,1,40,"('access', 'NN')",NN,access,access,42
72016923RFA00001,1,41,"('information', 'NN')",NN,information,information,716
72016923RFA00001,1,42,"('or', 'CC')",CC,or,or,957
72016923RFA00001,1,43,"('increase', 'VB')",VB,increase,increase,699
72016923RFA00001,1,44,"('critical', 'JJ')",JJ,critical,critical,334
72016923RFA00001,1,45,"('thinking', 'VBG')",VBG,thinking,thinking,1335
72016923RFA00001,1,46,"('skills', 'NNS')",NNS,skills,skills,1222
72016923RFA00001,1,47,"('with', 'IN')",IN,with,with,1464
72016923RFA00001,1,48,"('a', 'DT')",DT,a,a,25
72016923RFA00001,1,49,"('focus', 'NN')",NN,focus,focus,551
72016923RFA00001,1,50,"('on', 'IN')",IN,on,on,947
72016923RFA00001,1,51,"(',', ',')",",",",",,0
72016923RFA00001,1,52,"('but', 'CC')",CC,but,but,192
72016923RFA00001,1,53,"('not', 'RB')",RB,not,not,935
72016923RFA00001,1,54,"('exclusively', 'RB')",RB,exclusively,exclusively,505
72016923RFA00001,1,55,"(',', ',')",",",",",,0
72016923RFA00001,1,56,"('to', 'TO')",TO,to,to,1348
72016923RFA00001,1,57,"('support', 'VB')",VB,support,support,1288
72016923RFA00001,1,58,"(':', ':')",:,:,,0
72016923RFA00001,1,59,"('small', 'JJ')",JJ,small,small,1224
72016923RFA00001,1,60,"('and', 'CC')",CC,and,and,112
72016923RFA00001,1,61,"('medium-sized', 'JJ')",JJ,medium-sized,mediumsized,875
72016923RFA00001,1,62,"('enterprises', 'NNS')",NNS,enterprises,enterprises,470
72016923RFA00001,1,63,"(';', ':')",:,;,,0
72016923RFA00001,1,64,"('new', 'JJ')",JJ,new,new,921
72016923RFA00001,1,65,"('and', 'CC')",CC,and,and,112
72016923RFA00001,1,66,"('existing', 'VBG')",VBG,existing,existing,507
72016923RFA00001,1,67,"('companies', 'NNS')",NNS,companies,companies,269
72016923RFA00001,1,68,"('that', 'WDT')",WDT,that,that,1323
72016923RFA00001,1,69,"('provide', 'VBP')",VBP,provide,provide,1084
72016923RFA00001,1,70,"('media', 'NNS')",NNS,media,media,872
72016923RFA00001,1,71,"(',', ',')",",",",",,0
72016923RFA00001,1,72,"('information', 'NN')",NN,information,information,716
72016923RFA00001,1,73,"('and', 'CC')",CC,and,and,112
72016923RFA00001,1,74,"('communications', 'NN')",NN,communications,communications,263
72016923RFA00001,1,75,"('services', 'NNS')",NNS,services,services,1205
72016923RFA00001,1,76,"(';', ':')",:,;,,0
72016923RFA00001,1,77,"('industry', 'NN')",NN,industry,industry,713
72016923RFA00001,1,78,"('stakeholders', 'NNS')",NNS,stakeholders,stakeholders,1248
72016923RFA00001,1,79,"(',', ',')",",",",",,0
72016923RFA00001,1,80,"('including', 'VBG')",VBG,including,including,697
72016923RFA00001,1,81,"('entrepreneurs', 'NNS')",NNS,entrepreneurs,entrepreneurs,472
72016923RFA00001,1,82,"(',', ',')",",",",",,0
72016923RFA00001,1,83,"('that', 'IN')",IN,that,that,1323
72016923RFA00001,1,84,"('develop', 'VB')",VB,develop,develop,380
72016923RFA00001,1,85,"('supporting', 'VBG')",VBG,supporting,supporting,1290
72016923RFA00001,1,86,"('technological', 'JJ')",JJ,technological,technological,1318
72016923RFA00001,1,87,"('infrastructure', 'NN')",NN,infrastructure,infrastructure,717
72016923RFA00001,1,88,"('and', 'CC')",CC,and,and,112
72016923RFA00001,1,89,"('architecture', 'NN')",NN,architecture,architecture,129
72016923RFA00001,1,90,"(',', ',')",",",",",,0
72016923RFA00001,1,91,"('or', 'CC')",CC,or,or,957
72016923RFA00001,1,92,"('increase', 'VB')",VB,increase,increase,699
72016923RFA00001,1,93,"('innovation', 'NN')",NN,innovation,innovation,719
72016923RFA00001,1,94,"('in', 'IN')",IN,in,in,691
72016923RFA00001,1,95,"('the', 'DT')",DT,the,the,1324
72016923RFA00001,1,96,"('media', 'NNS')",NNS,media,media,872
72016923RFA00001,1,97,"(',', ',')",",",",",,0
72016923RFA00001,1,98,"('information', 'NN')",NN,information,information,716
72016923RFA00001,1,99,"('and', 'CC')",CC,and,and,112
72016923RFA00001,1,100,"('communications', 'NNS')",NNS,communications,communications,263
72016923RFA00001,1,101,"('space', 'NN')",NN,space,space,1238
72016923RFA00001,1,102,"('for', 'IN')",IN,for,for,556
72016923RFA00001,1,103,"('consumers', 'NNS')",NNS,consumers,consumers,291
72016923RFA00001,1,104,"('and', 'CC')",CC,and,and,112
72016923RFA00001,1,105,"('businesses', 'NNS')",NNS,businesses,businesses,191
72016923RFA00001,1,106,"(';', ':')",:,;,,0
72016923RFA00001,1,107,"('and', 'CC')",CC,and,and,112
72016923RFA00001,1,108,"('personal', 'JJ')",JJ,personal,personal,1005
72016923RFA00001,1,109,"('and', 'CC')",CC,and,and,112
72016923RFA00001,1,110,"('organizational', 'JJ')",JJ,organizational,organizational,960
72016923RFA00001,1,111,"('ability', 'NN')",NN,ability,ability,28
72016923RFA00001,1,112,"('to', 'TO')",TO,to,to,1348
72016923RFA00001,1,113,"('safely', 'RB')",RB,safely,safely,1175
72016923RFA00001,1,114,"('and', 'CC')",CC,and,and,112
72016923RFA00001,1,115,"('securely', 'RB')",RB,securely,securely,1194
72016923RFA00001,1,116,"('utilize', 'JJ')",JJ,utilize,utilize,1420
72016923RFA00001,1,117,"('digital', 'JJ')",JJ,digital,digital,389
72016923RFA00001,1,118,"('technologies', 'NNS')",NNS,technologies,technologies,1319
72016923RFA00001,1,119,"('and', 'CC')",CC,and,and,112
72016923RFA00001,1,120,"('platforms', 'NNS')",NNS,platforms,platforms,1021
72016923RFA00001,1,121,"('.', '.')",.,.,,0
72016923RFA00001,2,0,"('USAID', 'NNP')",NNP,USAID,usaid,1404
72016923RFA00001,2,1,"('applies', 'VBZ')",VBZ,applies,applies,122
72016923RFA00001,2,2,"('a', 'DT')",DT,a,a,25
72016923RFA00001,2,3,"('holistic', 'JJ')",JJ,holistic,holistic,653
72016923RFA00001,2,4,"('to', 'TO')",TO,to,to,1348
72016923RFA00001,2,5,"('supporting', 'VBG')",VBG,supporting,supporting,1290
72016923RFA00001,2,6,"('access', 'NN')",NN,access,access,42
72016923RFA00001,2,7,"('to', 'TO')",TO,to,to,1348
72016923RFA00001,2,8,"('information', 'NN')",NN,information,information,716
72016923RFA00001,2,9,"('.', '.')",.,.,,0
72016923RFA00001,3,0,"('USAID', 'NN')",NN,USAID,usaid,1404
72016923RFA00001,3,1,"('will', 'MD')",MD,will,will,1462
72016923RFA00001,3,2,"('support', 'VB')",VB,support,support,1288
72016923RFA00001,3,3,"('a', 'DT')",DT,a,a,25
72016923RFA00001,3,4,"('Fund', 'NN')",NN,Fund,fund,578
72016923RFA00001,3,5,"('that', 'WDT')",WDT,that,that,1323
72016923RFA00001,3,6,"('makes', 'VBZ')",VBZ,makes,makes,843
72016923RFA00001,3,7,"('investments', 'NNS')",NNS,investments,investments,757
72016923RFA00001,3,8,"('in', 'IN')",IN,in,in,691
72016923RFA00001,3,9,"('a', 'DT')",DT,a,a,25
72016923RFA00001,3,10,"('wide', 'JJ')",JJ,wide,wide,1458
72016923RFA00001,3,11,"('range', 'NN')",NN,range,range,1096
72016923RFA00001,3,12,"('of', 'IN')",IN,of,of,944
72016923RFA00001,3,13,"('products', 'NNS')",NNS,products,products,1068
72016923RFA00001,3,14,"('and', 'CC')",CC,and,and,112
72016923RFA00001,3,15,"('services', 'NNS')",NNS,services,services,1205
72016923RFA00001,3,16,"('including', 'VBG')",VBG,including,including,697
72016923RFA00001,3,17,"('but', 'CC')",CC,but,but,192
72016923RFA00001,3,18,"('not', 'RB')",RB,not,not,935
72016923RFA00001,3,19,"('limited', 'JJ')",JJ,limited,limited,819
72016923RFA00001,3,20,"('to', 'TO')",TO,to,to,1348
72016923RFA00001,3,21,"('those', 'DT')",DT,those,those,1337
72016923RFA00001,3,22,"('that', 'WDT')",WDT,that,that,1323
72016923RFA00001,3,23,"('are', 'VBP')",VBP,are,are,130
72016923RFA00001,3,24,"('independent', 'JJ')",JJ,independent,independent,704
72016923RFA00001,3,25,"('news', 'NN')",NN,news,news,923
72016923RFA00001,3,26,"('and', 'CC')",CC,and,and,112
72016923RFA00001,3,27,"('information', 'NN')",NN,information,information,716
72016923RFA00001,3,28,"('providers', 'NNS')",NNS,providers,providers,1085
72016923RFA00001,3,29,"(',', ',')",",",",",,0
72016923RFA00001,3,30,"('or', 'CC')",CC,or,or,957
72016923RFA00001,3,31,"('provide', 'VB')",VB,provide,provide,1084
72016923RFA00001,3,32,"('cybersecurity', 'NN')",NN,cybersecurity,cybersecurity,348
72016923RFA00001,3,33,"(',', ',')",",",",",,0
72016923RFA00001,3,34,"('content', 'JJ')",JJ,content,content,292
72016923RFA00001,3,35,"('analytics', 'NNS')",NNS,analytics,analytics,110
72016923RFA00001,3,36,"(',', ',')",",",",",,0
72016923RFA00001,3,37,"('subscription', 'NN')",NN,subscription,subscription,1279
72016923RFA00001,3,38,"('services', 'NNS')",NNS,services,services,1205
72016923RFA00001,3,39,"(',', ',')",",",",",,0
72016923RFA00001,3,40,"('financial', 'JJ')",JJ,financial,financial,541
72016923RFA00001,3,41,"('technology', 'NN')",NN,technology,technology,1320
72016923RFA00001,3,42,"('solutions', 'NNS')",NNS,solutions,solutions,1234
72016923RFA00001,3,43,"('(', '(')",(,(,,0
72016923RFA00001,3,44,"('FINTECH', 'NNP')",NNP,FINTECH,fintech,544
72016923RFA00001,3,45,"(')', ')')",),),,0
72016923RFA00001,3,46,"(',', ',')",",",",",,0
72016923RFA00001,3,47,"('content', 'JJ')",JJ,content,content,292
72016923RFA00001,3,48,"('management', 'NN')",NN,management,management,848
72016923RFA00001,3,49,"('systems', 'NNS')",NNS,systems,systems,1305
72016923RFA00001,3,50,"(',', ',')",",",",",,0
72016923RFA00001,3,51,"('audience', 'NN')",NN,audience,audience,147
72016923RFA00001,3,52,"('measurement', 'NN')",NN,measurement,measurement,869
72016923RFA00001,3,53,"('and', 'CC')",CC,and,and,112
72016923RFA00001,3,54,"('analysis', 'NN')",NN,analysis,analysis,109
72016923RFA00001,3,55,"(',', ',')",",",",",,0
72016923RFA00001,3,56,"('information', 'NN')",NN,information,information,716
72016923RFA00001,3,57,"('and', 'CC')",CC,and,and,112
72016923RFA00001,3,58,"('communication', 'NN')",NN,communication,communication,262
72016923RFA00001,3,59,"('platforms', 'NNS')",NNS,platforms,platforms,1021
72016923RFA00001,3,60,"(',', ',')",",",",",,0
72016923RFA00001,3,61,"('educational', 'JJ')",JJ,educational,educational,430
72016923RFA00001,3,62,"('tools', 'NNS')",NNS,tools,tools,1354
72016923RFA00001,3,63,"(';', ':')",:,;,,0
72016923RFA00001,3,64,"('as', 'RB')",RB,as,as,138
72016923RFA00001,3,65,"('well', 'RB')",RB,well,well,1448
72016923RFA00001,3,66,"('as', 'IN')",IN,as,as,138
72016923RFA00001,3,67,"('applications', 'NNS')",NNS,applications,applications,121
72016923RFA00001,3,68,"('that', 'WDT')",WDT,that,that,1323
72016923RFA00001,3,69,"('will', 'MD')",MD,will,will,1462
72016923RFA00001,3,70,"('utilize', 'VB')",VB,utilize,utilize,1420
72016923RFA00001,3,71,"('next', 'JJ')",JJ,next,next,924
72016923RFA00001,3,72,"('generation', 'NN')",NN,generation,generation,595
72016923RFA00001,3,73,"('technologies', 'NNS')",NNS,technologies,technologies,1319
72016923RFA00001,3,74,"('such', 'JJ')",JJ,such,such,1284
72016923RFA00001,3,75,"('as', 'IN')",IN,as,as,138
72016923RFA00001,3,76,"('Artificial', 'JJ')",JJ,Artificial,artificial,137
72016923RFA00001,3,77,"('Intelligence', 'NNP')",NNP,Intelligence,intelligence,736
72016923RFA00001,3,78,"('(', '(')",(,(,,0
72016923RFA00001,3,79,"('AI', 'NNP')",NNP,AI,ai,93
72016923RFA00001,3,80,"(')', ')')",),),,0
72016923RFA00001,3,81,"(',', ',')",",",",",,0
72016923RFA00001,3,82,"('5G', 'CD')",CD,5G,5g,21
72016923RFA00001,3,83,"('technologies', 'NNS')",NNS,technologies,technologies,1319
72016923RFA00001,3,84,"(',', ',')",",",",",,0
72016923RFA00001,3,85,"('and', 'CC')",CC,and,and,112
72016923RFA00001,3,86,"('Internet', 'NNP')",NNP,Internet,internet,748
72016923RFA00001,3,87,"('of', 'IN')",IN,of,of,944
72016923RFA00001,3,88,"('Things', 'NNP')",NNP,Things,things,1334
72016923RFA00001,3,89,"('(', '(')",(,(,,0
72016923RFA00001,3,90,"('IoT', 'NNP')",NNP,IoT,iot,761
72016923RFA00001,3,91,"(')', ')')",),),,0
72016923RFA00001,3,92,"('and', 'CC')",CC,and,and,112
72016923RFA00001,3,93,"('similar', 'JJ')",JJ,similar,similar,1218
72016923RFA00001,3,94,"('forward-looking', 'NN')",NN,forward-looking,forwardlooking,562
72016923RFA00001,3,95,"('products', 'NNS')",NNS,products,products,1068
72016923RFA00001,3,96,"('and', 'CC')",CC,and,and,112
72016923RFA00001,3,97,"('services', 'NNS')",NNS,services,services,1205
72016923RFA00001,3,98,"('.', '.')",.,.,,0
72016923RFA00001,4,0,"('These', 'DT')",DT,These,these,1333
72016923RFA00001,4,1,"('products', 'NNS')",NNS,products,products,1068
72016923RFA00001,4,2,"('and', 'CC')",CC,and,and,112
72016923RFA00001,4,3,"('services', 'NNS')",NNS,services,services,1205
72016923RFA00001,4,4,"('must', 'MD')",MD,must,must,909
72016923RFA00001,4,5,"('contribute', 'VB')",VB,contribute,contribute,301
72016923RFA00001,4,6,"('to', 'TO')",TO,to,to,1348
72016923RFA00001,4,7,"('citizens', 'NNS')",NNS,citizens,citizens,228
72016923RFA00001,4,8,"('’', 'JJ')",JJ,’,,0
72016923RFA00001,4,9,"('ability', 'NN')",NN,ability,ability,28
72016923RFA00001,4,10,"('to', 'TO')",TO,to,to,1348
72016923RFA00001,4,11,"('access', 'NN')",NN,access,access,42
72016923RFA00001,4,12,"('accurate', 'NN')",NN,accurate,accurate,48
72016923RFA00001,4,13,"('and', 'CC')",CC,and,and,112
72016923RFA00001,4,14,"('relevant', 'JJ')",JJ,relevant,relevant,1132
72016923RFA00001,4,15,"('information', 'NN')",NN,information,information,716
72016923RFA00001,4,16,"(',', ',')",",",",",,0
72016923RFA00001,4,17,"('increase', 'VB')",VB,increase,increase,699
72016923RFA00001,4,18,"('critical', 'JJ')",JJ,critical,critical,334
72016923RFA00001,4,19,"('thinking', 'NN')",NN,thinking,thinking,1335
72016923RFA00001,4,20,"('skills', 'NNS')",NNS,skills,skills,1222
72016923RFA00001,4,21,"(',', ',')",",",",",,0
72016923RFA00001,4,22,"('or', 'CC')",CC,or,or,957
72016923RFA00001,4,23,"('support', 'NN')",NN,support,support,1288
72016923RFA00001,4,24,"('digital', 'NN')",NN,digital,digital,389
72016923RFA00001,4,25,"(',', ',')",",",",",,0
72016923RFA00001,4,26,"('media', 'NNS')",NNS,media,media,872
72016923RFA00001,4,27,"('and', 'CC')",CC,and,and,112
72016923RFA00001,4,28,"('information', 'NN')",NN,information,information,716
72016923RFA00001,4,29,"('literacy', 'NN')",NN,literacy,literacy,825
72016923RFA00001,4,30,"('education', 'NN')",NN,education,education,429
72016923RFA00001,4,31,"(',', ',')",",",",",,0
72016923RFA00001,4,32,"('and', 'CC')",CC,and,and,112
72016923RFA00001,4,33,"('must', 'MD')",MD,must,must,909
72016923RFA00001,4,34,"('adhere', 'VB')",VB,adhere,adhere,71
72016923RFA00001,4,35,"('to', 'TO')",TO,to,to,1348
72016923RFA00001,4,36,"('the', 'DT')",DT,the,the,1324
72016923RFA00001,4,37,"('principles', 'NNS')",NNS,principles,principles,1062
72016923RFA00001,4,38,"('set', 'VBP')",VBP,set,set,1206
72016923RFA00001,4,39,"('below', 'IN')",IN,below,below,169
72016923RFA00001,4,40,"('in', 'IN')",IN,in,in,691
72016923RFA00001,4,41,"('the', 'DT')",DT,the,the,1324
72016923RFA00001,4,42,"('Section', 'NN')",NN,Section,section,1190
72016923RFA00001,4,43,"('2', 'CD')",CD,2,2,6
72016923RFA00001,4,44,"('.', '.')",.,.,,0
72016923RFA00001,5,0,"('Investment', 'NN')",NN,Investment,investment,756
72016923RFA00001,5,1,"('Principles', 'NNS')",NNS,Principles,principles,1062
72016923RFA00001,5,2,"('.', '.')",.,.,,0
72016923RFA00001,6,0,"('A.2', 'NNP')",NNP,A.2,a2,26
72016923RFA00001,6,1,"('Investment', 'NNP')",NNP,Investment,investment,756
72016923RFA00001,6,2,"('Principles', 'NNS')",NNS,Principles,principles,1062
72067423RFA00004,0,0,"('The', 'DT')",DT,The,the,1324
72067423RFA00004,0,1,"('of', 'IN')",IN,of,of,944
