OPPORTUNITY NUMBER,term_str
72068520RFA00001,project resilience programming phase efforts populations systems manage shocks stresses pursue poverty statement priorities populations individuals actors development systems markets health resources management warning response governance systems success shocks stressors factors success extent communities level wellbeing household community capacities wellbeing environment challenges opportunities resilience capacities extent capacities life results attention aspects resilience capacities research experience resilience face shocks stresses
72068520RFA00003,resilience project resilience programming efforts populations systems manage shocks stresses pursue poverty overview p9 framework descriptions activities
72026723RFA00001,engagement public women youth society organizations citizens result society sector fosters
72039119RFA00001,women gender gap women access information resources support institutions men boys community stakeholders enabling environment women society incidence gender violence voices women communities control lives home work society role women peacebuilders advocates stability
72062019RFA00002,livelihood opportunities water access points capacity governments communities water infrastructure water resources access water productivity livelihoods access water conflict host communities smallholder farmers livestock herders drivers violent extremism community recovery stability water resource interventions growth stability areas
72068519RFA00003,civil society government government institutions mandate responsive needs space mechanisms policy reform
72044218RFA00003,described quality health care hardship systems achievement result health child protection behaviors extent quality sector health services health child protection behaviors focus behaviors sub project demand quality health services envisions health system people quality health products services efforts gap knowledge practices closing people risk diseases care signs symptoms disease practice behavior eg net myths misconceptions health practices end vision people use health services facilities quality standards vibrant change community practice units agencies sector partners actors understanding role health development secure funding initiatives design implement programs development impact
72016722RFA00002,partnerships theprivate sector institutions support development learning es collaboration sector universities education market needs country partnerships industry universities development ecosystem sector partner education institutions programs generation graduates skills field establishmentof networks sector education institutions capacity development industry sectors sector potential growth opportunities successes education interventions working stakeholders sector education institutions s benefits sides target stakeholders sector education institutions addition stakeholders implementation diaspora nonprofits government institutions eg s core functions education system quality relevanteducation training advance knowledge research networks education institutions world play role skills development research networks communities agency s market outcomes
72038621RFA00004,air pollution mitigation exposure reduction systems regions cleaner environment population air pollution health impacts counterparts interventions governance air pollution mitigation health impacts innovation finance expertise air pollution mitigation measures exposure air pollution science solutions stakeholders transformation
72060821RFA00001,grassroots initiatives heritage coexistence activities work sites houses worship cemeteries institutions locations importance community efforts heritage sites minorities activities tolerance interfaith dialogue communities levels youth consideration employability means interest sustainability preservation efforts
72064122RFA00008,overall education service delivery accountability education system s enabling environment accountability education system refers conditions place system actors roles performance interactions actors education system ability system actors roles
72067422RFA00006,usaidlesotho highquality prevention care treatment services reduction transmission morbidity mortality implementation program districts
72066322RFA00006,civic actors capacity policy analysis advocacy dialogue action peaceful change fostermultistakeholder civic partnershipsin support dialogue rights governance
72038622RFA00002,concert management landscapes biodiversity conservation climate benefits greenhouse gas emissions carbon sequestration benefits country management practices landscapes management areas corridors wildlife conservation benefits livelihoods ecosystem services conditions landscape conservation
72066422RFA00001,overall  citizens issues effect change level s development thelegitimacy sustainability civilsociety sector interventions areas participatory course award priorities potential improvements livesof citizens
72062122RFA00005,partner organization services family assistance needs control needs
72060322RFA00002,employment workforce programs links quality jobs s employment access equity effectiveness priorities efforts readiness access employment opportunities youth change stakeholders development sectors subsectors job opportunitiesavailability youth interventions governance collaboration labor demand labor supply intermediate
72051721RFA00003,usaid effort trafficking means threats biodiversity region wildlife region collection poaching wildlife trade demand pets collections food medicines jewelry crafts efforts wildlife trafficking component implementation plan
72016822RFA00003,participation community development philanthropic cooperation activities cohesion connections solidarity groups society
72011422RFA00003,investments media ways space journalism media freedom journalist safety indicators media freedom decline enabling environment media freedom expression gains actors state sector threats journalists quality journalism enabling environment adherence standards level effort organizations institutions coalitions gaps system s
72066922RFA00001,defecation counties everyone counties practices defecation level sanitation counties  people practice defecation countywide defecation areas
72027821RFA00007,change women s empowerment country end state level interventions s relationships laws barriers gender norms power relations roles example environment efforts level legislation level train awareness enforcement legislation seeks es levels norms women empowerment accomplishment s s attention use communications strategy advocacy capacity building society engagement interventions manner communities disability community households survivors violence divorcees juveniles
7200AA21RFA00024,overarching labor rights set forth instruments
72011221RFA00001,citizens citizen groups society government aim building trust confidence skills abilities society engagement sector advocacy changes governance reforms partnerships participation development accountability transparency governance use economy analysis baselines
72051421RFA00002,partner s development impact functions examples functions partners activities impact planning resources mechanisms partners list experience consultations partner guidance actions communication plan capacity building interests organization upon partners performance growth sustainability partners tools resources monitoring communications outreach marketplace capacity building services partners access tools resources
72066323RFA00002,practices households communities demand nutrition services health facilities health posts health centers hospitals quality services health facilities strengthen implementation nutrition intervention sectors interventions focus days life window opportunity impact
72052222RFA00005,overall access quality education children youth students areas rates violence migration students grades education acquisition skills reading math turn children youth knowledge skills motivation citizens students vulnerability violent activities results results outcomes indicators addition standard indicators indicators progress level outcomes violence prevention migration extent indicators age gender factors analysis effectiveness marginalization
